"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
" 0.000000e+00",7.80010290866459,0.811,0.008," 0.000000e+00","14","Cspg4"
" 0.000000e+00",4.68465962762634,1,0.197," 0.000000e+00","14","Ptprz1"
" 0.000000e+00",4.54088204174644,0.971,0.183," 0.000000e+00","14","Lhfpl3"
" 0.000000e+00",4.8507395921029,0.844,0.06," 0.000000e+00","14","Matn4"
" 0.000000e+00",2.53802929167613,0.892,0.156," 0.000000e+00","14","Gjc3"
" 0.000000e+00",4.09882987578442,0.811,0.079," 0.000000e+00","14","Olig1"
" 0.000000e+00",3.9811981992614,0.825,0.094," 0.000000e+00","14","Arhgap31"
" 0.000000e+00",1.44927373240668,0.859,0.145," 0.000000e+00","14","Atp1a2"
" 0.000000e+00",3.41381198069357,0.804,0.093," 0.000000e+00","14","Sox10"
" 0.000000e+00",2.89931663180373,0.787,0.079," 0.000000e+00","14","Gpr37l1"
" 0.000000e+00",3.53504840674015,0.964,0.257," 0.000000e+00","14","Serpine2"
" 0.000000e+00",3.2600871453347,0.94,0.249," 0.000000e+00","14","Pcdh15"
" 0.000000e+00",4.97333912419324,0.725,0.037," 0.000000e+00","14","Ednrb"
" 0.000000e+00",4.03607496941884,0.742,0.068," 0.000000e+00","14","Sox6"
" 0.000000e+00",6.98316482023013,0.682,0.01," 0.000000e+00","14","C1ql1"
" 0.000000e+00",4.29037097699043,0.677,0.052," 0.000000e+00","14","Etv4"
" 0.000000e+00",3.80993433769636,0.679,0.059," 0.000000e+00","14","Zfp36l1"
" 0.000000e+00",5.8985590321321,0.634,0.02," 0.000000e+00","14","Emid1"
" 0.000000e+00",5.92725986258729,0.6,0.007," 0.000000e+00","14","Gpr17"
" 0.000000e+00",4.34759046838013,0.634,0.042," 0.000000e+00","14","Tmem176b"
" 0.000000e+00",6.90856099436655,0.579,0.005," 0.000000e+00","14","Neu4"
" 0.000000e+00",3.47178609366909,0.598,0.052," 0.000000e+00","14","Gpc5"
" 0.000000e+00",4.92808360210404,0.538,0.021," 0.000000e+00","14","Olig2"
" 0.000000e+00",4.88595285437113,0.522,0.022," 0.000000e+00","14","Kank1"
" 0.000000e+00",4.26010749336419,0.543,0.053," 0.000000e+00","14","Gm4876"
" 0.000000e+00",4.38985743429253,0.519,0.044," 0.000000e+00","14","Megf11"
" 0.000000e+00",5.59905815099542,0.474,0.013," 0.000000e+00","14","Calcrl"
" 0.000000e+00",4.9727366205132,0.471,0.023," 0.000000e+00","14","Shc4"
